ClassName,AttackerName,ActiveTime
CommandPattern.Idle,2pPlayer,3.779997
CommandPattern.ForwardWalk,1pPlayer,3.799997
CommandPattern.Idle,2pPlayer,3.799997
CommandPattern.ForwardWalk,1pPlayer,3.819997
CommandPattern.Idle,2pPlayer,3.819997
CommandPattern.ForwardWalk,1pPlayer,3.839997
CommandPattern.Idle,2pPlayer,3.839997
CommandPattern.ForwardWalk,1pPlayer,3.859997
CommandPattern.Idle,2pPlayer,3.859997
CommandPattern.RightHighKick,1pPlayer,3.879997
CommandPattern.Idle,2pPlayer,3.879997
CommandPattern.ForwardWalk,1pPlayer,3.899997
CommandPattern.Idle,2pPlayer,3.899997
CommandPattern.ForwardWalk,1pPlayer,3.919997
CommandPattern.Idle,2pPlayer,3.919997
CommandPattern.ForwardWalk,1pPlayer,3.939997
CommandPattern.Idle,2pPlayer,3.939997
CommandPattern.ForwardWalk,1pPlayer,3.959997
CommandPattern.Idle,2pPlayer,3.959997
CommandPattern.ForwardWalk,1pPlayer,3.979997
CommandPattern.Idle,2pPlayer,3.979997
CommandPattern.ForwardWalk,1pPlayer,3.999997
CommandPattern.Idle,2pPlayer,3.999997
CommandPattern.ForwardWalk,1pPlayer,4.019997
CommandPattern.Idle,2pPlayer,4.019997
CommandPattern.ForwardWalk,1pPlayer,4.039997
CommandPattern.Idle,2pPlayer,4.039997
CommandPattern.Idle,1pPlayer,4.059997
CommandPattern.Idle,2pPlayer,4.059997
CommandPattern.Idle,1pPlayer,4.079997
CommandPattern.Idle,2pPlayer,4.079997
CommandPattern.Idle,1pPlayer,4.099997
CommandPattern.Idle,2pPlayer,4.099997
CommandPattern.Idle,1pPlayer,4.119997
CommandPattern.Idle,2pPlayer,4.119997
CommandPattern.Idle,1pPlayer,4.139997
CommandPattern.Idle,2pPlayer,4.139997
CommandPattern.Idle,1pPlayer,4.159997
CommandPattern.Idle,2pPlayer,4.159997
CommandPattern.Idle,1pPlayer,4.179997
